metric,value
mean_immediate_reward,60.92840739932855
mean_effective_discount,0.8253515619573494
rough_fixed_point_Er_over_1_minus_Ediscount,348.86316810030286
mean_q_prediction,23.268285978687274
mean_bellman_target,75.15010149855614
mean_v_value,22.783049571391818
mean_ppo_gae_return_target,278.0686492554139
early_mean_v_value,9.272545888056978
early_mean_ppo_gae_return_target,275.400774649387
early_mean_ppo_v_td_delta,58.92512323232609
middle_mean_v_value,22.91315372800827
middle_mean_ppo_gae_return_target,277.0097791480542
middle_mean_ppo_v_td_delta,56.50389304236296
late_mean_v_value,36.1634490981102
late_mean_ppo_gae_return_target,281.79539396880045
late_mean_ppo_v_td_delta,55.12871375969568
final_episode_mean_v_value,42.709310379028324
final_episode_mean_ppo_gae_return_target,239.97622888496656
final_episode_mean_ppo_v_td_delta,46.442797002933254
